0	0	29.38	32.71	70.46	36.18	33.88	53.60	56.40	36.32	29.23	85.69	38.43	16.18	130.29	40.51	9.18	203.57	42.59	5.33	324.43	44.71	3.08	525.28	46.93	1.78	828.13	49.12	1.03	
0	1	39.23	31.32	101.16	50.01	32.50	75.15	79.73	34.88	41.68	123.03	37.06	22.77	188.23	39.17	12.63	291.24	41.30	7.23	459.81	43.45	4.14	738.62	45.74	2.34	1157.99	48.04	1.31	
0	2	24.82	33.95	54.22	30.68	35.17	40.38	46.82	37.57	22.12	70.03	39.76	12.06	105.81	41.82	6.85	163.10	43.89	4.02	258.52	45.88	2.38	420.13	47.90	1.42	669.58	49.90	0.85	
0	3	36.65	31.05	97.57	47.23	32.28	72.75	76.95	34.69	40.28	119.01	36.86	22.19	182.83	39.04	12.21	282.90	41.28	6.86	443.34	43.53	3.86	703.65	45.86	2.18	1092.26	48.13	1.24	
0	4	43.74	29.57	141.78	57.18	30.71	107.15	94.66	33.08	60.52	150.11	35.20	33.90	236.56	37.35	18.90	373.80	39.58	10.63	602.44	41.87	5.93	983.30	44.31	3.25	1563.60	46.75	1.75	
0	5	41.42	30.80	97.47	52.98	32.04	72.55	85.23	34.58	39.70	131.02	36.83	21.35	198.68	39.02	11.74	303.43	41.24	6.66	471.11	43.47	3.78	745.13	45.81	2.14	1151.06	48.12	1.22	
0	6	21.50	34.15	41.12	26.77	35.38	30.84	41.37	37.74	17.51	62.52	39.84	9.85	94.66	41.90	5.64	145.69	43.99	3.32	230.61	46.07	1.95	372.93	48.16	1.17	592.68	50.20	0.71	
0	7	15.29	32.11	85.80	21.11	33.08	69.38	40.01	35.02	44.02	73.08	36.87	26.43	131.66	38.90	15.12	229.66	41.03	8.57	394.71	43.22	4.79	673.59	45.52	2.65	1109.12	47.89	1.44	
0	8	27.41	32.54	70.12	33.50	33.68	53.04	53.36	36.03	30.05	82.56	38.16	16.71	128.15	40.31	9.23	201.72	42.52	5.23	321.08	44.73	2.96	519.27	47.00	1.69	820.23	49.24	0.97	
1	0	21.87	34.22	46.42	27.31	35.40	34.97	41.92	37.85	19.56	62.88	39.98	10.92	95.31	42.04	6.15	146.60	44.13	3.60	233.34	46.12	2.13	383.20	48.18	1.27	618.48	50.22	0.76	
1	1	24.22	32.48	71.11	31.07	33.64	53.79	50.14	36.05	30.28	78.73	38.20	16.67	122.20	40.41	9.13	190.26	42.65	5.11	302.24	44.87	2.89	489.47	47.14	1.64	778.22	49.38	0.93	
1	2	25.39	33.02	63.21	32.08	34.18	47.69	50.29	36.58	26.64	76.66	38.78	14.47	115.71	40.94	8.01	178.40	43.12	4.56	281.04	45.23	2.64	455.71	47.42	1.53	725.30	49.54	0.90	
1	3	46.03	30.11	109.10	59.24	31.36	81.45	95.27	33.91	44.45	145.75	36.19	23.90	220.82	38.44	12.99	337.31	40.72	7.30	525.23	43.01	4.11	835.70	45.43	2.30	1294.23	47.82	1.28	
1	4	56.58	27.63	202.35	74.78	28.82	152.93	127.68	31.32	84.65	203.12	33.61	45.46	317.50	35.92	24.25	495.41	38.37	13.06	779.75	40.85	7.02	1244.79	43.48	3.70	1932.72	46.09	1.94	
1	5	41.21	29.95	122.24	53.61	31.15	91.87	89.37	33.67	50.56	139.79	35.93	27.23	215.50	38.20	14.61	334.30	40.52	8.06	521.60	42.81	4.51	830.95	45.21	2.52	1294.70	47.53	1.41	
1	6	34.03	31.63	84.29	43.37	32.90	62.19	68.82	35.45	33.88	104.81	37.71	18.20	158.75	39.89	10.00	244.41	42.10	5.69	383.45	44.25	3.27	615.40	46.51	1.88	966.96	48.72	1.08	
1	7	14.97	34.93	35.41	18.34	36.11	27.20	28.25	38.46	15.61	42.56	40.57	8.75	64.40	42.64	4.93	99.47	44.74	2.84	158.22	46.77	1.67	259.50	48.74	1.02	431.06	50.68	0.63	
1	8	28.71	32.40	75.48	36.62	33.64	56.48	59.06	36.11	31.46	90.96	38.35	17.07	140.29	40.52	9.37	218.21	42.72	5.30	344.20	44.85	3.04	554.68	47.05	1.75	875.86	49.20	1.01	
2	0	18.53	37.05	35.82	22.68	38.64	26.06	34.57	41.05	14.20	50.73	43.10	7.90	75.28	45.03	4.55	115.88	46.80	2.73	186.81	48.45	1.65	311.57	50.15	0.98	508.22	52.00	0.58	
2	1	15.81	37.69	28.83	19.61	38.79	21.25	29.45	41.27	11.76	43.80	43.31	6.39	64.20	45.24	3.64	97.08	46.93	2.24	153.66	48.54	1.38	255.62	50.25	0.84	426.32	52.09	0.51	
2	2	27.69	35.67	54.93	33.73	37.04	39.90	50.15	39.52	21.30	72.96	41.61	11.72	107.09	43.47	6.77	161.84	45.24	4.10	255.42	46.93	2.47	422.63	48.78	1.44	691.37	50.73	0.82	
2	3	20.14	34.82	54.01	25.59	35.97	40.58	41.31	38.30	22.57	63.99	40.37	12.48	98.35	42.48	6.96	154.29	44.57	4.02	249.34	46.59	2.32	415.46	48.68	1.33	677.40	50.78	0.76	
2	4	33.26	32.05	79.45	42.52	33.25	59.65	68.69	35.59	33.42	106.26	37.75	18.43	163.42	39.89	10.29	254.03	42.04	5.91	407.60	44.15	3.42	675.73	46.36	1.96	1104.54	48.58	1.11	
2	5	59.73	29.58	146.49	77.31	30.93	107.47	124.27	33.45	57.33	190.51	35.67	30.69	288.72	37.81	16.93	440.94	39.99	9.66	695.87	42.24	5.45	1122.09	44.73	2.94	1752.04	47.29	1.54	
2	6	23.16	34.07	60.34	29.57	35.23	45.01	47.03	37.52	25.20	72.14	39.63	13.80	110.45	41.67	7.82	172.38	43.69	4.59	278.48	45.66	2.72	465.13	47.72	1.60	766.20	49.83	0.93	
2	7	27.07	33.49	56.96	34.44	34.67	42.53	55.26	37.05	23.82	84.36	39.15	13.28	127.84	41.22	7.51	197.99	43.29	4.42	315.69	45.30	2.61	521.39	47.40	1.53	850.36	49.57	0.88	
2	8	38.33	31.37	101.07	49.03	32.55	75.67	79.14	35.05	41.03	123.24	37.19	22.28	188.89	39.35	12.34	291.29	41.50	7.10	459.47	43.66	4.09	746.90	45.98	2.30	1191.07	48.32	1.27	
3	0	16.44	34.70	38.43	20.27	35.96	28.94	31.28	38.32	16.59	47.32	40.31	9.64	73.01	42.25	5.68	116.72	44.19	3.45	193.19	46.07	2.11	329.48	47.97	1.30	558.60	49.86	0.81	
3	1	15.38	34.81	37.24	18.84	35.97	28.40	29.57	38.28	16.48	45.52	40.27	9.53	71.42	42.22	5.58	115.34	44.14	3.40	193.63	46.00	2.09	338.47	47.87	1.30	587.88	49.76	0.81	
3	2	23.28	33.93	44.55	29.52	35.11	33.60	46.93	37.48	19.15	71.61	39.59	10.78	108.94	41.62	6.21	168.18	43.62	3.70	266.31	45.60	2.23	435.36	47.61	1.36	704.82	49.62	0.83	
3	3	8.68	37.01	20.95	10.39	38.23	16.08	15.72	40.71	9.43	23.58	42.61	5.60	36.70	44.45	3.36	59.87	46.26	2.08	103.52	47.97	1.30	185.18	49.67	0.83	336.25	51.43	0.53	
3	4	12.44	34.91	35.47	15.39	35.97	27.83	24.27	38.26	16.60	38.85	40.28	9.57	61.86	42.21	5.62	100.99	44.07	3.46	172.50	45.80	2.19	311.52	47.47	1.43	579.51	49.19	0.92	
3	5	22.69	31.92	76.43	29.28	32.91	60.95	50.53	35.19	35.52	83.34	37.34	19.62	132.90	39.52	10.78	211.16	41.67	6.17	340.87	43.83	3.54	562.89	46.08	2.02	918.65	48.34	1.15	
3	6	23.78	32.74	61.07	29.88	33.99	45.66	47.18	36.42	25.63	72.13	38.50	14.47	111.58	40.54	8.29	175.85	42.54	4.97	287.27	44.51	3.00	487.52	46.56	1.81	811.78	48.62	1.08	
3	7	20.84	33.62	48.88	26.21	34.83	36.47	41.05	37.19	20.71	62.42	39.30	11.67	95.53	41.27	6.84	151.69	43.22	4.15	250.54	45.12	2.55	434.77	47.05	1.57	746.54	49.04	0.96	
3	8	21.62	33.42	58.51	27.22	34.63	43.36	43.10	36.97	24.17	65.62	39.01	13.46	101.05	41.15	7.59	159.38	43.19	4.46	257.48	45.20	2.67	434.49	47.25	1.61	721.05	49.28	0.97	
